#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
117,"Dolce Vita","Ryan Paris",122,4A,74,2023-07-14,07:31,57,"italo disco, italo dance","ZYX Italo Disco Collection",2009-12-04,88,19,0,96,0,0,-9,F Minor,4,6AsF1pBjFMIEMXuA8JgRag,DEA310904718
118,"All Night Long (All Night)","Lionel Richie",109,3B,58,2023-07-14,06:22,63,"motown","Can't Slow Down",1983-01-01,71,27,0,85,0,0,-13,C♯/D♭ Major,4,1DxT6f6mH7kLriOUWbujup,USMO18390005
119,"Tiburon","Proyecto Uno",130,8B,72,2023-07-14,05:03,70,"merengue, latin house","In Da House",1997-00-00,88,15,0,89,0,0,-13,C Major,4,2GcjfckZexh9wRRjg9KtQG,US3Z40407581
120,"Aire - Remastered","Pedro Marin",129,10B,95,2023-07-14,03:33,45,"","Todas sus grabaciones en Hispavox (1979-1986) [Remastered 2015]",2015-04-07,74,5,0,87,0,0,-8,D Major,4,3QiRtWfWlZtLz43VbJRiEm,ES5151402543
121,"Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson)","Felix Jaehn,Jasmine Thompson",118,7A,57,2023-07-14,03:06,74,"tropical house, ","I",2018-02-16,78,67,0,46,0,0,-7,D Minor,4,3c8iiZGfEammKJuWTErE5x,DEUM71500425
122,"Rock DJ","Robbie Williams",103,9B,77,2023-07-14,04:18,72,"","Sing When You're Winning",2000-01-01,71,3,0,86,0,40,-4,G Major,4,4pbyDPjFgfPqFTcIMC8xpK,GBAYK0000160
123,"You're Beautiful","James Blunt",82,5A,48,2023-07-14,03:29,77,"","Back to Bedlam",2005-08-08,68,63,0,45,0,0,-10,C Minor,4,0vg4WnUWvze6pBOJDTq99k,USAT20401588
124,"I Gotta Feeling","Black Eyed Peas",128,8B,77,2023-07-14,04:49,85,"","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",2009-01-01,74,9,0,61,0,50,-6,C Major,4,4kLLWz7srcuLKA7Et40PQR,USUM70965169
125,"YMCA - Original Version 1978","Village People",127,2B,97,2023-07-14,04:46,71,"disco","YMCA",1978-01-01,72,6,0,73,10,10,-5,F#/G♭ Major,4,54OR1VDpfkBuOY5zZjhZAY,FR6V80878846
126,"Juntos","Paloma San Basilio",138,6B,95,2023-07-14,04:21,52,"","Ahora",1981-00-00,58,32,0,81,0,20,-5,A#/B♭ Major,4,7jK3BKP4SDY3MGHKgbGcp9,ES5088303961
127,"Yeah! (feat. Lil Jon & Ludacris)","USHER,Lil Jon,Ludacris",105,10B,79,2023-07-14,04:10,87,"r&b, crunk, southern hip hop","Confessions (Expanded Edition)",2004-03-23,89,2,0,58,10,0,-5,D Major,4,5rb9QrpfcKFHM1EUbSIurX,USAR10301423
128,"Never Gonna Give You Up","Rick Astley",113,4B,94,2023-07-14,03:33,5,"","Whenever You Need Somebody",1987-11-12,72,12,0,91,0,10,-12,G#/A♭ Major,4,4cOdK2wGLETKBW3PvgPWqT,GBARL9300135
129,"Greased Lighten'","John Travolta",159,8B,68,2023-07-14,03:14,45,"musicals","Greased Lightnin'",2008-02-08,54,19,15,95,0,20,-17,C Major,4,3qD3IT0t8QnkD80DEYvRgr,NLG620403707
130,"Bimbó 92","Georgie Dann",125,4A,93,2023-07-14,02:33,27,"","Macumba y Otros Tremendos Exitos",2000-00-00,61,2,1,95,0,10,-5,F Minor,4,3I4rCM3LCLIFCNA0iRQ9Qz,ES5029100073
131,"Duro De Pelar","Rebeca",138,7B,97,2023-07-14,03:23,48,"eurodance","Rebeca",1996-01-15,75,5,1,94,0,60,-7,F Major,4,6b61wUfgkYnP1pmXI6k13J,ES6010500389
132,"Enseñame a Cantar","Micky",188,10B,78,2023-07-14,03:28,1,"kompa","Todo Lo Mejor",2003-05-22,66,52,0,94,10,0,-9,D Major,4,6zT8SxeBSGZlMgQM8VvgYZ,ES5299400089
133,"Una Noche Más","Jennifer Lopez",125,3A,94,2023-07-14,04:05,48,"","On The 6",1999-04-20,72,0,6,90,0,10,-7,A#/B♭ Minor,4,6vXpvdynJIA38p4ffg9buA,USSM19900595
134,"Complicated","Avril Lavigne",78,7B,78,2023-07-14,04:04,84,"","Let Go",2002-06-04,59,6,0,43,0,30,-6,F Major,4,5xEM5hIgJ1jjgcEBfpkt2F,USAR10200223
135,"Enola Gay","Orchestral Manoeuvres In The Dark",143,7A,56,2023-07-14,03:32,56,"new wave, synthpop","The Best Of Orchestral Manoeuvres In The Dark",1988-01-01,57,1,3,96,0,0,-14,D Minor,4,7bJSbd2Upa4iYVHlbRKEJm,GBAAA8000002
136,"Que La Detengan","David Civera",126,4B,96,2023-07-14,03:32,48,"","En Cuerpo Y Alma",2002-01-01,75,9,0,70,0,20,-5,G#/A♭ Major,4,5a76ewdxMy4WoMuDinapcl,ES6010200176
137,"Mood (feat. iann dior)","24kGoldn,iann dior",91,6A,72,2023-07-14,02:20,4,"melodic rap","Mood (feat. iann dior)",2020-07-24,70,22,0,76,0,20,-4,G Minor,4,3tjFYV6RSFtuktYl3ZtYcq,USQX92003025
138,"Don't Cha","The Pussycat Dolls,Busta Rhymes",120,3B,63,2023-07-14,04:32,76,"east coast hip hop","PCD",2005-01-01,88,1,0,55,10,10,-3,C♯/D♭ Major,4,0BxfFnk0YzONqvmrkO0QrB,USUM70503191
139,"Simply Irresistible","Robert Palmer",143,11B,93,2023-07-14,04:14,61,"yacht rock","Heavy Nova (Bonus Tracks Version)",1988-00-00,65,13,0,70,0,0,-7,A Major,4,7mmhMfqs3knRMMlvnMPTHn,GB01A8800001
140,"I Like The Way - Radio Edit","Bodyrockers",128,2B,85,2023-07-14,03:20,56,"","Bodyrockers",2005-01-01,64,2,1,78,0,0,-4,F#/G♭ Major,4,0reKGVcWLVvl1FzjZ6TACy,GBF080500011
141,"Cien gaviotas","Duncan Dhu",136,11B,94,2023-07-14,02:49,59,"rock en español, latin rock","Canciones",1986-01-17,59,13,0,85,0,0,-5,A Major,4,020Gj87SqDRvzGHELzcCEc,ES5018660000
142,"Quevedo: Bzrp Music Sessions, Vol. 52/66","Bizarrap,Quevedo",128,10B,78,2023-07-14,03:18,82,"argentine trap, trap latino, urbano latino, ","Quevedo: Bzrp Music Sessions, Vol. 52/66",2022-07-06,62,1,3,55,0,20,-6,D Major,4,2tTmW7RDtMQtBk7m2rYeSw,UYB282201028
143,"Bleeding Love","Leona Lewis",104,7B,66,2023-07-14,04:22,79,"","Spirit",2007-00-00,64,19,0,23,0,10,-6,F Major,4,7wZUrN8oemZfsEd1CGkbXE,GBHMU0700049
144,"Mayores","Becky G,Bad Bunny",97,4A,84,2023-07-14,03:23,77,"reggaeton, latin, trap latino, urbano latino","MALA SANTA",2019-10-18,75,14,0,87,0,10,-4,F Minor,4,2AY1UAimvTqjJC8vDJsOyy,USRC11701270
145,"Laura no està","Nek",126,8A,72,2023-07-14,03:45,70,"rock en español, latin pop","Nek (spanish version)",1997-00-00,65,44,0,50,0,10,-5,A Minor,4,10tzk7ZRjwnLKd3gjKLtTA,ITJ039700014
146,"Arrasando","Thalia",132,10B,98,2023-07-14,03:59,62,"latin pop","Arrasando",2000-01-01,73,5,1,91,0,60,-6,D Major,4,1EhDeCHd34jt7dMDqkGQBC,MXF060000004
147,"Sweat (A La La La La Long)","Inner Circle",173,8B,73,2023-07-14,03:47,3,"reggae, roots reggae","Blazzin' Fire",2010-12-14,79,1,0,94,20,10,-8,C Major,4,1SssFw74DdHVjRa6ADggdD,USA2P1004785
148,"La Bilirrubina","Juan Luis Guerra 4.40",130,3B,91,2023-07-14,04:05,0,"merengue, bachata, salsa","Bachata Rosa",1990-01-01,74,84,0,94,0,30,-6,C♯/D♭ Major,4,4xzcXQrlMKwvv3kDpvBKWm,USJ3V1861775
149,"Asi Me Gusta a Mi","Chimo Bayo",120,9B,97,2023-07-14,06:09,0,"","Techno Valencia Mix (The History) Back to the 90's",2014-05-12,59,13,82,52,0,0,-11,G Major,4,4yu6Gh2sTy26PqVtLRmGOn,ES5770601012
150,"Amigos para Siempre","Los Manolos",118,3B,85,2023-07-14,04:24,51,"flamenco, flamenco pop","Dulce Veneno",1992-06-23,71,34,0,93,0,0,-10,C♯/D♭ Major,4,6PfQB3xEbIlky1dXOb3Yyh,ES5029200095
151,"Salir","Extremoduro",160,9B,65,2023-07-14,05:18,69,"","Canciones Prohibidas",1998-06-08,32,29,0,47,0,10,-6,G Major,4,4z2EeFUp5Lhai9qhHtA6IF,ES5019814000
152,"Hung Up","Madonna",125,8A,65,2023-07-14,05:37,81,"","Confessions on a Dance Floor",2005-11-11,65,0,16,41,0,0,-8,A Minor,4,3850dYVgOFIXJh5U4BFEWH,USWB10504319
153,"The Passenger","Iggy Pop",135,8B,89,2023-07-14,04:43,73,"proto-punk, glam rock","Lust For Life",1977-08-29,50,9,0,70,0,70,-5,C Major,4,15BQ7vEDv2LJuh8TxWIhtd,USVI20700278
154,"The Only Thing That Looks Good On Me Is You","Bryan Adams",119,9B,93,2023-07-14,03:37,51,"","18 Til I Die",1996-06-04,64,5,0,96,0,40,-4,G Major,4,4XcNoJ4W4Qa4uuqxa2KRsm,USAM19602270
155,"Don't Worry Be Happy","Bobby McFerrin",69,1B,16,2023-07-14,04:52,68,"","The Collection",1997-01-01,68,88,0,77,10,0,-23,B Major,4,5YbgcwHjQhdT1BYQ4rxWlD,USEM38800361
156,"Mamma Mia","ABBA",138,10B,75,2023-07-14,03:33,80,"","Abba",1975-00-00,75,30,0,83,0,40,-7,D Major,4,2TxCwUlqaOH3TIyJqGgR91,SEAYD7501010
157,"There's Nothing Holdin' Me Back","Shawn Mendes",122,10A,81,2023-07-14,03:19,88,"","Illuminate (Deluxe)",2017-04-20,87,38,0,97,0,0,-4,B Minor,4,7JJmb5XwzOO8jgpou264Ml,USUM71702833
158,"Hawái","Maluma",180,11A,73,2023-07-14,03:19,81,"reggaeton, latin, urbano latino","PAPI JUANCHO",2020-08-21,78,19,0,56,30,0,-3,F#/G♭ Minor,4,1yoMvmasuxZfqHEipJhRbp,USSD12000190
159,"Bitch","Meredith Brooks",96,11B,89,2023-07-14,04:12,73,"","Blurring The Edges",1997-01-01,62,1,0,65,0,0,-6,A Major,4,3i6qNxyVgIdUZTTi5m25EM,USCA29701376
160,"Save Your Tears","The Weeknd",118,8B,83,2023-07-14,03:35,87,"","After Hours",2020-03-20,68,2,0,64,0,50,-5,C Major,4,5QO79kh1waicV47BqGRL3g,USUG12000658
161,"Boys - Summertime Love","Sabrina",120,4A,68,2023-07-14,03:54,64,"italo disco","Sabrina",1988-00-00,84,14,48,94,0,0,-11,F Minor,4,1uI848raFaNWwe9HjHpjQ5,GBJUT1009950
162,"Lobo-hombre en París","La Unión",146,11B,95,2023-07-14,03:52,71,"rock en español, latin rock","Mil Siluetas",1984-10-15,60,2,0,75,0,10,-5,A Major,4,2hConpLOB6gmyM8vDkVOof,ES5158401006
163,"Girls Just Want to Have Fun","Cyndi Lauper",120,2B,80,2023-07-14,03:58,83,"","She's So Unusual",1983-10-14,71,22,0,73,0,30,-5,F#/G♭ Major,4,4y1LsJpmMti1PfRQV9AWWe,USSM18300548
164,"Voyage voyage","Desireless",124,1A,91,2023-07-14,04:26,74,"","François",2001-01-02,61,25,1,84,0,30,-6,G#/A♭ Minor,4,2d8D7uk3tbAThjRkdfrx9c,DEQ858600201
165,"I Promised Myself","Nick Kamen",128,11B,80,2023-07-14,04:00,62,"","Move Until We Fly",1990-00-00,58,0,0,69,0,0,-12,A Major,4,5jVJAojK3LFKETjI2gYb8O,GBAHT1400334
166,"Johnny Techno Ska - Versión 1994 Remasterizada","Paco Pil",160,8B,63,2023-07-14,03:30,38,"","Energía Positiva (Remaster)",1994-03-23,67,2,0,98,0,0,-13,C Major,4,0qPFZh2doqpRirH6JwqiFS,ES16I1700012
167,"Calma - Remix","Pedro Capó,Farruko",127,10A,77,2023-07-14,03:58,73,"latin pop, latin, reggaeton, trap latino","Calma (Remix)",2018-10-05,83,32,0,76,0,10,-4,B Minor,4,5iwz1NiezX7WWjnCgY5TH4,USSD11800343
168,"We Are Young (feat. Janelle Monáe)","fun.,Janelle Monáe",184,6B,64,2023-07-14,04:10,80,"alternative r&b","Some Nights",2012-02-14,38,2,0,74,0,0,-6,A#/B♭ Major,4,5rgy6ghBq1eRApCkeUdJXf,USAT21101399
169,"Antes Muerta Que Sencilla","María Isabel",160,8B,91,2023-07-14,02:32,50,"flamenco","¡No Me Toques Las Palmas Que Me Conozco!",2004-01-01,76,3,0,96,10,0,-5,C Major,4,3QncI2MDoSto39bT8SJtKK,ES6010400483
170,"Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix","Crystal Waters,The Basement Boys",120,7B,64,2023-07-14,07:31,72,"","Surprise",1991-01-01,48,0,28,18,0,0,-13,F Major,4,1SShxVVBeZBCY7WddnksPz,USIR20200561
171,"Here Comes the Hotstepper","iNi Kamoze",100,9B,54,2023-07-14,04:04,54,"reggae, roots reggae","On Your 90's Radio",2001-01-01,85,3,0,48,10,20,-7,G Major,4,4vfzROmNsxedKICcHod5Rh,USSM19802296
172,"Conga!","Miami Sound Machine",122,10B,66,2023-07-14,04:14,68,"","Primitive Love",1985-08-13,79,17,4,87,0,0,-15,D Major,4,3FdHgoJbH3DXNtGLh56pFu,USSM10026825
173,"Ella Elle L A","Kate Ryan",125,9A,86,2023-07-14,03:08,47,"eurodance","Free",2008-01-01,56,0,0,53,0,40,-4,E Minor,4,4a9hKPzMzh0vkKOUnz5gSD,BEUM70800110
174,"It's a Sin - 2018 Remaster","Pet Shop Boys",127,5A,86,2023-07-14,04:59,73,"synthpop, new wave","Actually: Further Listening 1987 - 1988 (2018 Remaster)",1987-09-07,54,21,0,28,0,20,-6,C Minor,4,5fy4vfEtv6lzqLx2Mt7stF,GBAYE1700799
175,"Let Me Out","Dover",130,6B,86,2023-07-14,04:23,56,"","Follow The City Lights",2006-10-02,65,0,18,41,0,10,-4,A#/B♭ Major,4,22D8T98R2LL6PEC0LGrmYt,ES5080600525
176,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit,Anne-Marie,Sean Paul",102,8A,73,2023-07-14,04:11,82,"dancehall","What Is Love? (Deluxe Edition)",2018-11-30,72,38,0,79,0,40,-5,A Minor,4,2hrUO4drrO63i7FYbCLBl2,GBAHS1600363
177,"Yo Quiero Bailar","Sonia Y Selena",134,1B,95,2023-07-14,03:33,55,"","Yo Quiero Bailar",2001-01-01,63,16,0,91,0,30,-6,B Major,4,4rFCPjKfgbEeNvs1Ku4nbd,ES6010200113
178,"Beautiful Girls","Sean Kingston",130,12A,66,2023-07-14,03:45,82,"","Beautiful Girls",2007-07-23,76,15,0,77,0,20,-6,C♯/D♭ Minor,4,1hGy2eLcmC8eKx7qr1tOqx,USSM10701781
179,"Saturday Night - Radio Mix","Whigfield",130,1B,91,2023-07-14,04:07,32,"eurodance","The Hits Collection",2022-05-02,73,8,8,97,0,0,-7,B Major,4,2ev0McFPUBFiQ8CAXL2Okw,IT00D9400207
180,"Madre Tierra (Oye)","Chayanne",125,8B,95,2023-07-14,03:25,68,"latin pop","En Todo Estaré (Deluxe Edition)",2014-08-25,70,2,0,80,0,20,-4,C Major,4,2wlptOJ1g5fvLdu6ruKCKU,USSD11400143
181,"¿Porqué te vas?","Jeanette",173,5A,46,2023-07-14,03:21,76,"","Porque Te Vas",2011-03-11,61,43,0,96,0,10,-11,C Minor,4,11rsK9GDZ9UdWsxtDqnMmN,ES5099800415
182,"One Dance","Drake,Wizkid,Kyla",104,3B,63,2023-07-14,02:53,91,"rap, afrobeats, afrobeat, afropop, azonto, afroswing, afro r&b, afropiano, ","Views",2016-05-06,79,1,0,37,0,30,-6,C♯/D♭ Major,4,1zi7xx7UVEFkmKfv06H8x0,USCM51600028
183,"Mon Amour - Remix","zzoilo,Aitana",116,10B,76,2023-07-14,02:59,77,"latin pop, ","Mon Amour (Remix)",2021-08-18,75,12,0,36,10,10,-7,D Major,4,5TMLavqGRKNxgzMBrVpC9R,ES5702101693
184,"Budapest","George Ezra",128,7B,46,2023-07-14,03:20,81,"","Wanted on Voyage (Expanded Edition)",2014-06-30,72,8,0,39,0,10,-8,F Major,4,2ixsaeFioXJmMgkkbd4uj1,GBARL1400477
185,"Lo echamos a suertes","Ella Baila Sola",89,10B,79,2023-07-14,03:57,61,"","Ella Baila Sola",1996-00-00,62,40,0,46,0,10,-5,D Major,4,1EBYkBMIU9nWRCLsot4DN2,ES5089602575
186,"Bienvenidos","Miguel Ríos",91,1B,83,2023-07-14,04:02,35,"rock en español, trova, nueva trova","Asi Que Pasen 30 Años",1992-01-01,40,1,0,57,0,80,-11,B Major,4,12FI23F59xB0DOoZcVKf4J,ES6009700144
187,"Agapimu","Ana Belén",172,5A,76,2023-07-14,03:31,34,"trova, nueva trova, singer-songwriter, bolero","Grandes Exitos",1979-00-00,55,58,0,91,10,0,-9,C Minor,3,32MzNj36hpZLKIvdo80hOO,ES5119901781
188,"Because the Night","Patti Smith",124,10A,76,2023-07-14,03:24,71,"proto-punk","Easter",1978-00-00,47,5,0,47,0,10,-8,B Minor,4,0lIoY4ZQsdn5QzhraM9o9u,USAR17800008
189,"Basket Case","Green Day",85,5B,94,2023-07-14,03:01,84,"punk, pop punk","Dookie",1994-02-01,44,0,0,78,0,0,-3,D#/E♭ Major,4,6L89mwZXSOwYl76YXfX13s,USRE19900151
190,"Ai Se Eu Te Pego","Michel Teló",96,1B,95,2023-07-14,02:45,0,"sertanejo, sertanejo universitário, sertanejo tradicional","Na Balada",2015-04-23,61,49,0,85,0,90,-4,B Major,4,4XHNR6VSE2JLNd65kNkX2L,BRIMT1100076
191,"American Pie","Don McLean",138,9A,48,2023-07-14,08:36,80,"","American Pie",1971-00-00,53,70,0,49,0,0,-12,E Minor,4,1fDsrQ23eTAVFElUMaf38X,USEM38600088
192,"Can't Get You out of My Head","Kylie Minogue",126,8A,56,2023-07-14,03:50,81,"dance pop","Fever",2001-10-01,77,3,68,96,0,10,-8,A Minor,4,3E7ZwUMJFqpsDOJzEkBrQ7,GBAYE0100913
193,"Stars On 45 - Original Single Edit","Stars On 45",123,9B,65,2023-07-14,04:46,53,"disco","Stars On 45",1981-01-22,78,35,0,97,0,40,-11,G Major,4,59BkBWQitTPgS1inzGfyI5,NLC288100003
194,"Wake Me Up","Avicii",124,10B,78,2023-07-14,04:07,87,"edm","True",2013-09-16,53,0,0,64,0,10,-6,D Major,4,0nrRP2bk19rLc0orkWPQk2,SEUM71301326
195,"Price Tag","Jessie J,B.o.B",175,7B,83,2023-07-14,03:43,79,"","Who You Are (Platinum Edition)",2011-01-01,64,3,0,67,10,20,-4,F Major,4,2fTsFCKRFQ5M0igJgabnLA,USUM71029357
196,"Love Shack","The B-52's",134,4A,80,2023-07-14,05:20,71,"new wave, post-punk","Cosmic Thing",1989-06-23,70,5,0,90,0,70,-7,F Minor,4,4W4wYHtsrgDiivRASVOINL,USRE18900030
197,"Creep","Radiohead",92,9B,43,2023-07-14,03:58,93,"art rock, alternative rock","Pablo Honey",1993-02-22,52,1,0,10,0,10,-10,G Major,4,70LcF31zb1H0PyJoS1Sx1r,GBAYE9200070
198,"Rise Up - Radio Edit","Yves Larock",128,10B,80,2023-07-14,02:50,58,"electronic classical","Rise Up (The Remixes)",2015-11-20,66,0,0,86,10,30,-7,D Major,4,2YdX7PEziOImkySNDWsaKM,CH6361507470
199,"Tubthumping","Chumbawamba",101,10B,88,2023-07-14,04:38,73,"","Tubthumper",1997-09-01,35,13,0,61,10,30,-7,D Major,4,22HYEJveCvykVDHDiEEmjZ,DEA349700542
200,"I WANNA BE YOUR SLAVE","Måneskin",133,3B,61,2023-07-14,02:53,84,"","Teatro d'ira - Vol. I",2021-03-19,75,0,0,96,0,10,-4,C♯/D♭ Major,4,4pt5fDVTg5GhEvEtlz9dKk,ITB002100115
201,"Bye Bye Bye","*NSYNC",173,1A,93,2023-07-14,03:20,72,"","No Strings Attached",2000-03-21,61,4,0,88,0,0,-5,G#/A♭ Minor,4,4r8lRYnoOGdEi6YyI5OC1o,USJI10000001
202,"Seven Nation Army","The White Stripes",124,9A,45,2023-07-14,03:52,85,"garage rock, blues rock, rock, alternative rock","Elephant",2003-04-01,74,0,12,28,0,30,-8,E Minor,4,3dPQuX8Gs42Y7b454ybpMR,USVT10300001
203,"I'm Too Sexy","Right Said Fred",122,10A,74,2023-07-14,02:50,0,"","Up",1992-01-07,68,0,1,84,0,20,-13,B Minor,4,2WElktskrNJEwgpp5Vouxk,GBBRL9290469
204,"Do You Want To","Franz Ferdinand",123,8B,94,2023-07-14,03:35,64,"indie rock","You Could Have It So Much Better",2005-10-03,41,7,0,79,0,80,-3,C Major,4,6WrnSlcN0dzTO80mVVbBto,GBCEL0500855
205,"Back for Good - Radio Mix","Take That",79,7B,50,2023-07-14,04:02,75,"","Nobody Else (Expanded Edition)",1995-05-08,60,31,0,56,0,10,-10,F Major,4,6vcdzohhBSbNdsZBh5IRpQ,GBARL9500020
