#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
242,"Gettin' Jiggy Wit It","Will Smith",108,2B,87,2023-07-14,03:47,73,"","Big Willie Style",1997-10-03,88,2,0,86,10,10,-5,F#/G♭ Major,4,0weAUscowxeqDtpCgtbpgp,USSM19702582
243,"Nada Que Perder","Conchita",124,7A,66,2023-07-14,04:22,25,"","Nada Más",2007-02-05,75,24,0,26,0,30,-8,D Minor,4,4V4P2sg9GaTttNn3mRnTDB,ES5080600904
244,"Angie - Remastered 2009","The Rolling Stones",136,8A,55,2023-07-14,04:32,74,"classic rock, rock","Goats Head Soup (Remastered 2009)",1973-08-31,43,67,0,41,0,10,-6,A Minor,4,1GcVa4jFySlun4jLSuMhiq,GBUM70909413
245,"Bailando por Ahi","Juan Magán",130,9A,73,2023-07-14,03:00,68,"reggaeton, latin","The King Of Dance",2012-05-14,73,4,0,97,0,20,-5,E Minor,4,6sHBvzRsuGunQTfCk18KXi,ES5021100308
246,"Dynamite","BTS",114,11A,77,2023-07-14,03:19,81,"k-pop","BE",2020-11-20,75,1,0,74,10,0,-4,F#/G♭ Minor,4,5QDLhrAOJJdNAmCTJ8xMyW,QM7282022872
247,"El Jardín Prohibido","Sandro Giacobbe",124,10B,43,2023-07-14,04:07,11,"","Sandro Giacobbe: Éxitos",2016-03-09,60,76,0,23,0,0,-7,D Major,4,3xec1BelrzOd6v0o8HRd2l,ES5379900132
248,"Vida de Rico","Camilo",88,2B,50,2023-07-14,03:04,69,"colombian pop, pop urbano","Mis Manos",2021-03-04,81,18,0,96,0,0,-4,F#/G♭ Major,4,4nTduFjaTmGysc9WKNuCcs,USSD12000388
249,"Cryin'","Aerosmith",106,11B,86,2023-07-14,05:08,2,"classic rock, rock","Get A Grip",1993-01-01,45,0,1,49,0,30,-4,A Major,3,0NJC0FDCODpPUntRTTQq97,USIR10000430
250,"Mr. Saxobeat","Alexandra Stan",127,9A,93,2023-07-14,03:15,2,"europop","Sundown (Original Motion Picture Soundtrack)",2016-05-06,72,3,0,78,0,10,-4,E Minor,4,2BTSWfjaTMYWCxhmVRhqLK,ROCRP1002864
251,"Perfect Strangers","Jonas Blue,JP Cooper",118,3B,86,2023-07-14,03:16,79,"tropical house, ","Blue",2018-11-09,73,39,0,70,0,20,-4,C♯/D♭ Major,4,3P3pw6C19j31Rnzgo3JG7o,GBUM71602437
252,"Todo De Ti","Rauw Alejandro",128,2A,72,2023-07-14,03:19,80,"reggaeton, urbano latino, trap latino, latin","VICE VERSA",2021-12-10,78,30,0,34,0,0,-4,D#/E♭ Minor,4,3rdAz1fbUfZxYgaCviYhRo,USSD12100202
253,"Blitzkrieg Bop - 2016 Remaster","Ramones",177,11B,78,2023-07-14,02:14,72,"punk, proto-punk","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)",1976-04-23,39,0,47,90,20,10,-3,A Major,4,4KcH1ZRV2W1q7Flq0QqC76,USRH11601901
254,"Eye of the Tiger","Survivor",109,5A,44,2023-07-14,04:03,79,"","Eye Of The Tiger",1982-00-00,82,22,0,55,0,0,-15,C Minor,4,2HHtWyy5CgaQbC7XSoOb0e,USVR19300001
255,"What Can I Do","The Corrs,Tin Tin Out",78,11B,52,2023-07-14,04:14,61,"celtic rock, ","Talk on Corners",1998-10-17,63,34,0,69,0,10,-8,A Major,4,4rvT5iZVOCJeXZrDvy6JFK,USAT29800219
256,"Scream","Michael Jackson,Janet Jackson",107,8B,94,2023-07-14,04:37,63,"new jack swing","HIStory - PAST, PRESENT AND FUTURE - BOOK I",1995-06-16,81,7,0,61,0,40,-7,C Major,4,4LD5dhQ3kqpqe14sGPDtBC,USSM19500006
257,"Beautiful","Christina Aguilera",76,4A,57,2023-07-14,03:58,69,"","Stripped",2002-07-19,46,58,0,10,0,10,-4,F Minor,4,3TCauNPqFiniaYHBvEVoHG,USRC10201067
258,"Bang Bang","Jessie J,Ariana Grande,Nicki Minaj",150,5A,79,2023-07-14,03:19,82,"pop, ","Sweet Talker (Deluxe Version)",2014-10-10,71,26,0,75,0,30,-3,C Minor,4,0puf9yIluy9W0vpMEUoAnN,USUM71409737
259,"Another One Bites The Dust - Remastered 2011","Queen",110,4A,53,2023-07-14,03:34,83,"classic rock, rock, glam rock","The Game (2011 Remaster)",1980-06-27,93,11,31,75,10,10,-6,F Minor,4,5vdp5UmvTsnMEMESIF2Ym7,GBUM71029605
260,"Yellow River","Christie",130,12B,54,2023-07-14,02:45,54,"","Christie",1970-00-00,63,9,0,88,0,10,-11,E Major,4,4VnzKUBMB6cvog8Jvv1few,GBBBN7000002
261,"Crazy","Gnarls Barkley,CeeLo Green,Danger Mouse",112,4B,54,2023-07-14,02:57,82,"","St. Elsewhere",2007-12-01,87,5,2,64,0,0,-6,G#/A♭ Major,4,1vxw6aYJls2oq3gW0DujAo,GBAHT0600202
262,"Holding Out for a Hero - From  Footloose  Soundtrack","Bonnie Tyler",150,8A,69,2023-07-14,05:48,76,"","Secret Dreams and Forbidden Fire",1986-05-05,62,2,0,90,0,0,-15,A Minor,4,5Hyr47BBGpvOfcykSCcaw9,USSM18300449
263,"Stan","Eminem,Dido",80,11A,77,2023-07-14,06:44,82,"rap, hip hop, ","The Marshall Mathers LP",2000-05-23,78,4,0,51,20,50,-4,F#/G♭ Minor,4,3UmaczJpikHgJFyBTAJVoz,USIR10001280
264,"We No Speak Americano (Edit)","Yolanda Be Cool,DCup",125,2B,81,2023-07-14,02:37,64,"","We No Speak Americano",2020-12-04,90,7,8,75,0,0,-5,F#/G♭ Major,4,37dYAkMa4lzRCH6kDbMT1L,AUCN30901654
265,"Que Te Quería","La Quinta Estacion",143,8A,89,2023-07-14,03:49,65,"latin pop","Sin Frenos",2009-00-00,51,3,0,53,0,10,-5,A Minor,4,4wDk9P2WSvHOsRW6SDYE7L,MXF010801020
266,"No Scrubs","TLC",93,1A,68,2023-07-14,03:34,84,"","Fanmail",1999-02-23,74,3,0,59,10,0,-4,G#/A♭ Minor,4,1KGi9sZVMeszgZOWivFpxs,USLF29900479
267,"La Lola","Café Quijano",152,8A,79,2023-07-14,03:17,66,"bolero, rock en español","La Extraordinaria Paradoja Del Sonido Quijano",1999-00-00,73,6,1,87,10,10,-4,A Minor,4,5hyq5k3Do9gW3HGvDg5ZEJ,ES5159931001
268,"I Know You Want Me (Calle Ocho)","Pitbull",127,11B,73,2023-07-14,03:57,79,"","Pitbull Starring In Rebelution",2009-08-31,82,1,0,79,10,10,-6,A Major,4,5RzFJd6W40SDTyZkX6xx45,USJAY0900144
269,"Just Can't Get Enough","Depeche Mode",128,8B,77,2023-07-14,03:40,76,"new wave, synthpop, darkwave","Speak and Spell (Deluxe)",1981-11-02,77,40,6,92,0,10,-9,C Major,4,0qi4b1l0eT3jpzeNHeFXDT,GBAJH0600205
270,"Bad Romance","Lady Gaga",119,8B,92,2023-07-14,04:54,86,"art pop, pop","The Fame Monster (Deluxe Edition)",2009-11-05,70,0,0,71,0,0,-4,C Major,4,0SiywuOBRcynK0uKGWdCnn,USUM70918596
271,"Chandelier","Sia",117,3B,79,2023-07-14,03:36,83,"","1000 Forms Of Fear",2014-07-04,40,2,0,57,0,0,-3,C♯/D♭ Major,5,4VrWlk8IQxevMvERoX08iC,USRC11400498
272,"What You Waiting For?","Gwen Stefani",136,7B,95,2023-07-14,03:41,67,"","Love. Angel. Music. Baby.",2004-11-12,68,5,0,73,0,30,-3,F Major,4,0ny5zITdmyNwyTPVzRGscU,USIR10400692
273,"Cuéntame un cuento","Celtas Cortos",120,10A,91,2023-07-14,04:18,54,"celtic rock, celtic","Cuentame Un Cuento",1991-04-17,44,4,0,75,0,0,-4,B Minor,4,7uou7DWqEQSNfxcfipxyIu,ES5019107008
